team_id,year,league_id,sub_league_id,division_id,name,abbr,nickname,best_hitter_id,best_pitcher_id,best_rookie_id,manager_id,made_playoffs,won_playoffs,fired,position_in_division
31,1998,145,1,2,"Arizona","ARI","Diamondbacks",0,0,0,0,0,0,0,0
31,1999,145,1,2,"Arizona","ARI","Diamondbacks",0,0,0,0,1,0,0,0
31,2000,145,1,2,"Arizona","ARI","Diamondbacks",0,0,0,0,0,0,0,0
31,2001,145,1,2,"Arizona","ARI","Diamondbacks",0,0,0,0,1,1,0,0
31,2002,145,1,2,"Arizona","ARI","Diamondbacks",0,0,0,0,1,0,0,0
31,2003,145,1,2,"Arizona","ARI","Diamondbacks",0,0,0,0,0,0,0,0
31,2004,145,1,2,"Arizona","ARI","Diamondbacks",0,0,0,0,0,0,0,0
31,2005,145,1,2,"Arizona","ARI","Diamondbacks",0,0,0,0,0,0,0,0
31,2006,145,1,2,"Arizona","ARI","Diamondbacks",0,0,0,0,0,0,0,0
31,2007,145,1,2,"Arizona","ARI","Diamondbacks",0,0,0,0,1,0,0,0
31,2008,145,1,2,"Arizona","ARI","Diamondbacks",0,0,0,0,0,0,0,0
31,2009,145,1,2,"Arizona","ARI","Diamondbacks",0,0,0,0,0,0,0,0
31,2010,145,1,2,"Arizona","ARI","Diamondbacks",0,0,0,0,0,0,0,0
31,2011,145,1,2,"Arizona","ARI","Diamondbacks",0,0,0,0,1,0,0,0
31,2012,145,1,2,"Arizona","ARI","Diamondbacks",0,0,0,0,0,0,0,0
31,2013,145,1,2,"Arizona","ARI","Diamondbacks",0,0,0,0,0,0,0,0
31,2014,145,1,2,"Arizona","ARI","Diamondbacks",0,0,0,0,0,0,0,0
31,2015,145,1,2,"Arizona","ARI","Diamondbacks",0,0,0,0,0,0,0,0
31,2016,145,1,2,"Arizona","ARI","Diamondbacks",0,0,0,0,0,0,0,0
31,2017,145,1,2,"Arizona","ARI","Diamondbacks",26580,18315,34300,28,0,0,0,5
31,2018,145,1,2,"Arizona","ARI","Diamondbacks",33287,30506,34300,28,0,0,0,4
31,2019,145,1,2,"Arizona","ARI","Diamondbacks",34767,35010,35010,28,0,0,0,5
31,2020,145,1,2,"Arizona","ARI","Diamondbacks",32700,35611,35923,28,0,0,0,5
31,2021,145,1,2,"Arizona","ARI","Diamondbacks",21591,21202,38451,28,0,0,0,3
31,2022,145,1,1,"Carolina","CAR","Swamp Foxes",34509,21202,39517,28,0,0,0,5
31,2023,145,1,1,"Carolina","CAR","Swamp Foxes",32212,34988,34549,28,0,0,0,5
31,2024,145,1,1,"Carolina","CAR","Swamp Foxes",28308,21202,22560,28,0,0,0,5
31,2025,145,1,1,"Carolina","CAR","Swamp Foxes",39350,32612,41570,28,0,0,0,3
31,2026,145,1,1,"Carolina","CAR","Swamp Foxes",30410,41570,22658,28,1,0,0,1
31,2027,145,1,1,"Carolina","CAR","Swamp Foxes",21730,41570,35094,28,0,0,0,2
31,2028,145,1,1,"Carolina","CAR","Swamp Foxes",21730,41570,20741,28,1,0,0,1
31,2029,145,1,1,"Carolina","CAR","Swamp Foxes",21730,41570,26484,28,0,0,0,2
31,2030,145,1,1,"Carolina","CAR","Swamp Foxes",20741,41570,21645,28,1,1,0,1
31,2031,145,1,1,"Carolina","CAR","Swamp Foxes",20741,42405,23522,28,0,0,0,3
31,2032,145,1,1,"Carolina","CAR","Swamp Foxes",20741,40988,31211,28,1,0,0,3
31,2033,145,1,1,"Carolina","CAR","Swamp Foxes",21730,21645,40652,28,0,0,0,3
31,2034,145,1,1,"Carolina","CAR","Swamp Foxes",21730,42642,40652,28,1,0,0,1
31,2035,145,1,1,"Carolina","CAR","Swamp Foxes",22102,40392,34214,28,1,0,0,2
31,2036,145,1,1,"Carolina","CAR","Swamp Foxes",20741,38236,33943,28,0,0,0,2
31,2037,145,1,1,"Carolina","CAR","Swamp Foxes",22102,28020,39491,28,0,0,0,4
31,2038,145,1,1,"Carolina","CAR","Swamp Foxes",22102,23997,38385,28,0,0,0,4
